data_prediksi,hasil_prediksi,aktual
"['mah', 'untung', 'penginvest', 'coba', 'cairin', 'saldo', 'mendem', 'ribu', 'cair', 'dana', 'pas', 'cairin', 'kena', 'biaya', 'ribu', 'pas', 'tf', 'kena', 'admin', 'lg', 'an', 'udh', 'gitu', 'tf', 'dijadiin', 'antum', 'kena', 'admin', 'an']",0,0
"['maaf', 'trouble', 'buka', 'online', 'baharu']",0,0
"['nyimpan', 'uang', 'aplikasi', 'bobrok', 'duit', 'hilang', 'tarik', 'rekening', 'nggak', 'masuk', 'masuk', 'janji', 'kerja', 'udah', 'sabarin', 'nggk', 'masuk']",0,0
"['aplikasi', 'buka']",0,0
"['cair', 'dana', 'ribet']",0,1
"['investasi', 'reksadana', 'bibit', 'mudah', 'mula', 'anak', 'sekolah', 'investasi', 'bibit', 'ribu', 'rupiah', 'thankyou', 'bibit', 'moga', 'percaya']",1,1
"['maaf', 'bibit', 'bayar', 'pakai', 'gopay', 'tari', 'pakai', 'gopay', 'isi', 'otomatis', 'rekening', 'bank', 'banyak', 'aplikasi', 'investasi', 'sistem', 'deposit', 'tari', 'bingung', 'informasi', 'batas']",0,0
"['moga', 'lancar']",1,1
"['kapok', 'make', 'aplikasi', 'gabung', 'telegram', 'tipu', 'admin', 'kecewa', 'aplikasi', 'download', 'mikir', 'mending']",0,0
"['cocok', 'mula', 'ui', 'mudah', 'paham', 'pilih', 'batas']",1,1
"['apk', 'bagus', 'investor', 'mula']",1,1
"['kapok', 'make', 'aplikasi', 'gabung', 'telegram', 'tipu', 'admin', 'kecewa', 'aplikasi', 'download', 'mikir', 'mending']",0,0
"['buruk', 'kecewa', 'haha']",0,0
"['maaf', 'developer', 'coba', 'jual', 'investasi', 'nila', 'ribu', 'masuk', 'cuman', 'ribu', 'sisa', 'mana', 'in', 'tolong', 'jelas', 'mohon', 'kembali', 'sisa', 'investasi', 'nila', 'ribu', 'uang', 'nila', 'harga', 'orang']",0,0
"['nyesel', 'download', 'cair', 'cair', 'nggak', 'udah', 'minggu']",0,0
"['kasih', 'investasi', 'emas', 'gonta', 'ganti', 'apps']",1,1
"['app', 'metode', 'beli', 'saham', 'sampe', 'jual', 'tari', 'minggu', 'dana', 'cair', 'rek', 'tolong', 'baik', 'tari']",0,0
"['aplikasi', 'bibit', 'jelek', 'skrang', 'jaring', 'sinyal', 'wifi', 'bagus', 'baca', 'ngk', 'internet', 'aplikasi', 'ngk', 'buka', 'tolong', 'min', 'baik', 'aplikasi']",0,0
"['ajar', 'investasinih', 'aplikasi', 'cocok', 'banget', 'pemuladi', 'milih', 'investasi', 'ambilinvestasi', 'jangka', 'pendekmenengah', 'investasi', 'jangka', 'jugarecomended', 'banget', 'pokoknyaoh', 'iyakalo', 'cashback', 'masukin', 'kode', 'refereal', 'luckylaki', 'lumayan', 'jigoburuan', 'do', 'download', 'aplukasi', 'nyamulai', 'tentu', 'mu']",1,1
"['gabung', 'gegara', 'sengaja', 'liat', 'video', 'diyt', 'daftar', 'mudah', 'cepat', 'blom', 'join', 'plg', 'pilih', 'modal', 'gede', 'moga', 'bener', 'sesuai', 'lihat', 'video']",1,1
"['tolong', 'jual', 'cepat', 'udah', 'proses', 'manager']",0,0
"['keren', 'asett']",1,1
"['semenjak', 'kenal', 'bibit', 'hobby', 'nabung', 'thankyou', 'bibit', 'sukses']",1,1
"['bibit', 'proses', 'jual', 'butuh', 'dana', 'darurat', 'jual', 'kudu', 'verifikasi', 'manager', 'bank', 'butuh', 'dana', 'darurat', 'kapok', 'pakai', 'bibit', 'proses', 'beli', 'jual', 'proses', 'bibit', 'ubah', 'males', 'pakai', 'bibit', 'makan']",0,0
"['kirim', 'hasil', 'jual', 'nunggu', 'minggu', 'blom', 'kirim', 'uang']",0,0
"['moga', 'manfaat']",1,1
"['keren', 'nihhh', 'aplikasi', 'bener', 'mudah', 'investor', 'banget', 'invest', 'rekomen', 'banget', 'investor', 'muda', 'kenal', 'reksadana', 'pesan', 'bibit', 'tahan', 'bibit']",1,1
"['aplikasi', 'keren', 'cocok', 'banget', 'mula', 'dapet', 'cashback', 'pake', 'kode', 'referral', 'makinuntungpakebibit']",1,1
"['klik', 'mula', 'saran', 'apk', 'ngak', 'ribet', 'ferifikasi', 'data', 'invest', 'mana', 'pilih', 'baik', 'tipe', 'dsn', 'ngak', 'kalah', 'masikan', 'kode', 'dspat', 'casback', 'okbibitku', 'succes', 'slalu']",1,1
"['aplikasi', 'bibit', 'allhamdulillah', 'untung', 'jt', 'inti', 'sabar', 'rutin', 'tabung', 'uang', 'aplikasi', 'bibit', 'aplikasi', 'bibit', 'bantu', 'investor', 'mula', 'terimakasih', 'bibit', 'moga', 'depan', 'maju', 'bantu', 'investor']",1,1
"['coba', 'mula', 'rp', 'pingin', 'hasil', 'insyaallah', 'ok', 'mo', 'nabungnya']",1,1
"['cair', 'dana', 'tari', 'lumayan']",0,1
"['proses', 'cair', 'dana', 'status', 'order', 'pemberitahuannya', 'tidaj', 'detail', 'order', 'jual', 'hasil', 'dana', 'transfer', 'hari', 'status', 'order', 'status', 'dana', 'transfer', 'pasti', 'pas', 'jawab', 'cek', 'kala', 'mutasi', 'rekening', 'payah']",0,0
"['udah', 'kali', 'coba', 'narik', 'dana', 'bibit', 'mintak', 'ampun', 'ragu', 'tarok', 'nominal', 'bibit']",0,0
"['fiturfitur', 'nyaman', 'baik', 'tolong', 'filter', 'reksadana', 'detil', 'reksadana']",1,1
"['aplikasi', 'bagus', 'perli', 'tingkat', 'kagi', 'stabil', 'request', 'filter', 'permanen', 'sort', 'produk', 'rd', 'bolak', 'trims']",1,1
"['aplikasi', 'tarik', 'ajar', 'liatliat', 'udah', 'dapet', 'ktp', 'coba', 'investasi', 'bibit', 'moga', 'buka', 'alami', 'tingkat']",1,1
"['suka', 'app', 'bibit', 'ajar', 'investasi', 'inves']",1,1
"['maaf', 'kasih', 'bintang', 'nabung', 'dapat', 'cashback', 'gopay', 'terima', 'cashbacknya', 'cashback', 'mohon', 'cerah']",0,0
"['pakai', 'kode', 'referral', 'nadya', 'yaa', 'install', 'bibit', 'vocer', 'rb']",1,1
"['coba', 'coba']",1,0
"['najiss', 'beli', 'cepet', 'ambil']",1,0
"['aplikasi', 'bagusjadi', 'meta', 'uang', 'dasar', 'tuju', 'pasti', 'semangat', 'investasi', 'lupa', 'pakai', 'kode', 'referral', 'anismifta', 'cashback']",1,1
"['bantu', 'bibit', 'hasil', 'jga', 'lumayan', 'banding', 'nabung', 'bank', 'deposit', 'bibit', 'bln', 'dpt', 'rebu', 'nabung', 'tabungam', 'jangka', 'saldo', 'jt', 'daprtmya', 'tigarebu', 'mending', 'ikutin', 'robo', 'bibit', 'dr', 'pd', 'instrumen', 'mas', 'mula', 'wd', 'nunggu', 'masuk', 'rek', 'suda', 'info', 'wd', 'butuh', 'proses', 'yuukk', 'cobain', 'lupa', 'pake', 'kode', 'ref', 'maniacuan']",0,1
"['ragu', 'iventasi', 'app', 'chat', 'langsung', 'tanggapmalah', 'lamabener', 'coment', 'sebelumnyatolong', 'donk', 'baik', 'lagisaya', 'app', 'udh', 'iventasi', 'siniklo', 'narik', 'uang', 'sajahmalah', 'diam', 'oladehh', 'bye', 'bye', 'dehpindah', 'sebelahjangan', 'download', 'apk', 'bodong', 'scam']",0,0
"['untung', 'masuk', 'kode', 'psbfscq', 'saldo', 'rp', 'yuk', 'invest']",1,1
"['yth', 'teman', 'gabung', 'investasi', 'bibit', 'mohon', 'infonyaapakah', 'aplikasi', 'real', 'adanyakemudian', 'bibit', 'buka', 'layan', 'aplikasi', 'mohon', 'info', 'teman']",1,0
"['cair', 'sekaliii', 'nyimpen', 'dana', 'darurat', 'keburu', 'mati', 'lapar', 'tolong', 'cair', 'real', 'time', 'lamaaa']",0,0
"['mantab', 'aplikasi', 'cashback', 'lupa', 'masuk', 'kode', 'referal', 'naise', 'lupa', 'senyum']",1,1
"['bantu', 'financial']",1,1
"['bantu', 'mula', 'minat', 'tambah', 'cashback', 'kode', 'refferal', 'coffe', 'registrasicashback', 'lgsung', 'muka', 'transaksi']",1,1
"['cepat', 'transaksi', 'beli', 'jual', 'cepat']",1,1
"['mencobasaya', 'kasih', 'bintang', 'register', 'cepat', 'tatap', 'playment', 'link', 'hasil', 'halaman', 'aplikasih', 'bibit', 'uninstal', 'unduh', 'lagitolong', 'tingkat', 'makasih']",0,1
"['sy', 'coba', 'nilai', 'stlh', 'bbrp', 'sy', 'coba', 'jual', 'prosesnyatrnyata', 'obligasi', 'jual', 'error', 'kali', 'lucu', 'stlh', 'coba', 'jual', 'obligasi', 'kali', 'nilai', 'lgsg', 'drop', 'perak', 'invest', 'rutin', 'males', 'embat', 'lg', 'nilai', 'besarpencairan', 'jg', 'notifikasi', 'transfer', 'tdknya', 'payah']",0,0
"['aplikasi', 'babi', 'jual', 'juta', 'ribu', 'dana', 'udah', 'cair', 'sisa', 'jual', 'ber', 'hasil', 'tgl']",0,0
"['error', 'pas', 'restar', 'hp', 'buka']",0,0
"['tabung', 'asik', 'mudah']",1,1
"['bagus', 'ajar', 'investasi']",1,1
"['kode', 'referal', 'dapatuangloh', 'cb', 'bibit', 'aplikasi', 'bagus', 'boros', 'lihat', 'barang', 'ken', 'beli', 'alih', 'buang', 'uang', 'belanja', 'mending', 'tabung']",1,1
"['bibit', 'jedag', 'jedug', 'pas', 'dibukak', 'error', 'gimana', 'yaa']",0,0
"['menu', 'chat', 'cs', 'timpa', 'menu', 'profil', 'menu', 'support', 'timpa', 'menu', 'profil', 'menu', 'profil', 'susah', 'akses', 'akses', 'buka', 'aplikasi', 'cepat', 'pencet', 'profil', 'dah', 'aama', 'bibit']",0,1
"['bantu', 'jiwa', 'muda', 'melek', 'investasi', 'masuk', 'kode', 'kbibitbobot', 'cashback']",1,1
"['aplikasi', 'gk', 'optimal', 'hpkusebagian', 'layar', 'gk', 'tampildan', 'scrol', 'ku', 'coba', 'buka', 'browser', 'chrome', 'samaakhirnya', 'ku', 'buka', 'opera', 'browser', 'hasil', 'normal', 'paksa', 'uinstal', 'app', 'nyaterima', 'kasih', 'bibit']",0,1
"['tolong', 'developer', 'koneksi', 'dibenerin', 'stiap', 'kali', 'lihat', 'detail', 'kurva', 'usah', 'slalu', 'los', 'koneksi', 'pdhl', 'sinyal', 'internet', 'aman', 'gimana', 'buka', 'investasi', 'liat', 'beli', 'ibuka']",0,0
"['aplikasi', 'invest', 'sampahmau', 'cairin', 'aj', 'nunggu', 'lamamending', 'aplikasi', 'belah']",0,0
"['aplikasi', 'bagus', 'invest', 'sesuai', 'jadwal', 'giur', 'promo', 'cashback', 'php', 'penuh', 'harap', 'palsu', 'promo', 'cashback', 'aplikasi', 'syarat', 'tentu', 'penuh', 'kuota', 'promo', 'batas', 'data', 'transparan', 'kuota', 'gimmick', 'promo', 'kecewa', 'user', 'ujungujungnya', 'apapunnya', 'alias', 'nol', 'maaf', 'kasih', 'bintang']",0,0
['coba'],1,1
"['mudah', 'paham', 'mula', 'verifikasi', 'mudah', 'cepat', 'gabung', 'kode', 'dtkobix', 'yuk']",1,1
"['apk', 'amatir', 'daftar', 'ikut', 'sesuai', 'tunjuk', 'tunggu', 'validasi', 'data', 'jelas', 'lempar', 'cek', 'validasi', 'dukcapil', 'guna', 'tunggu', 'team', 'apk', 'validasi', 'data', 'kroscek', 'kroscek', 'dukcapil', 'apk', 'nempel', 'doang', 'tera', 'ojk', 'ojk', 'kroscek', 'apk', 'perihal', 'data', 'centera', 'aman', 'jual', 'belikan', 'data']",0,0
"['coba', 'lu', 'jual', 'inves', 'liat', 'potong', 'kecewa']",0,0
"['aplikasi', 'bibit', 'update', 'buka', 'tulis', 'halaman', 'web', 'sedia']",0,1
"['coba', 'investasipemula', 'app', 'bagus', 'ribet', 'ineverter', 'kudu', 'sabar', 'karna', 'proses', 'investasi', 'langsung', 'masuk', 'enak', 'bibit', 'bayar', 'pakek', 'link', 'gopay', 'keren', 'milenial', 'dongs', 'sisa', 'jajan', 'investasi']",1,1
"['baik', 'kadang', 'login', 'aplikasi', 'kadang', 'tolong', 'baik', 'ringan', 'login', 'gambar', 'muncul', 'gagal']",0,0
"['robo', 'advisor', 'milihin', 'manager', 'investasi', 'bagus', 'jual', 'aset', 'alias', 'nyangkut', 'transaksi', 'beli', 'jual', 'cair', 'dana', 'makan', 'banget']",0,0
"['bagus', 'mula', 'investor', 'dana', 'msih', 'lupa', 'pake', 'kode', 'referalku', 'dapet', 'cashback', 'ndtssvy']",1,1
"['gara', 'apk', 'bibit', 'gk', 'gue', 'invest', 'bnyak', 'bibit', 'gua', 'aman', 'cepat', 'percaya', 'omong', 'kosong', 'order', 'julanya', 'duit', 'hasil', 'order', 'jual', 'gk', 'masuk', 'rekening', 'kali', 'sedekah', 'langsung', 'terang', 'sedekah', 'gk', 'kaya', 'gin', 'kesan', 'nipu', 'orang']",0,0
['manfaat'],1,1
"['bibit', 'bagus', 'ribet']",1,1
"['apk', 'bantu']",1,1
"['aplikasi', 'bagus', 'mudah', 'simple', 'cocok', 'investasi', 'jangka', 'meminimalisir', 'resiko', 'utama', 'hasil', 'pensiun', 'henti', 'deh', 'masuk', 'kode', 'referral', 'numnum', 'dapat', 'cash', 'back', 'rb']",1,1
"['bibit', 'bagus', 'investasi', 'minimal', 'casblack', 'coba', 'pake', 'kode', 'reperal', 'badkh', 'ok', 'ragu', 'sy', 'jg', 'ragu', 'tp', 'asik', 'nikmat']",1,1
"['aplikasi', 'baik', 'bawa', 'dampak', 'positif', 'dunia', 'nyata']",1,1
"['suka', 'apps', 'tp', 'kadang', 'suka', 'lot', 'pas', 'buka', 'coba', 'fitur', 'ganti', 'metode', 'bayar', 'bayar', 'ganti', 'metode', 'bayar']",0,1
"['kode', 'cashback', 'rb', 'lumayan', 'kode', 'jangansusah']",1,1
"['suka', 'banget', 'bibit', 'masuk', 'kode', 'referal', 'danamon', 'daftar', 'bonus', 'cashback', 'rb', 'bonus', 'investasi', 'tarik', 'akun', 'bang', 'aplikasi', 'bagus', 'daftar', 'ojk', 'ragu', 'aplikasi', 'mantap', 'cocok', 'mula', 'ajar', 'investasi']",1,1
"['komplain', 'udah', 'instal', 'aplikasi', 'tp', 'loading', 'bngt', 'trus', 'bayar', 'transaksi', 'nutup', 'sendri', 'aplikasi', 'pdahl', 'aplikasi', 'udah', 'terupdate', 'tolong', 'kasih', 'sara', 'kdang', 'loadingnya', 'bngt', 'rada', 'males']",0,0
"['mudah', 'pakai', 'tutorial', 'akses', 'observasi', 'sahamsaham', 'pakai', 'saham', 'bingung', 'pakai', 'bibit']",1,1
"['ayo', 'investasi', 'nabung', 'bibit', 'pakai', 'kode', 'reff', 'salimcuan', 'dapat', 'cashback', 'cuannya']",1,1
"['aplikasi', 'mantap', 'silah', 'masuk', 'kode', 'karimun', 'bonus', 'cashback', 'langsung', 'registrasi']",1,1
"['ajar', 'investasi', 'tp', 'bingung', 'bibit', 'app', 'ilmu', 'investasi', 'pandu', 'langsung', 'app', 'tim', 'bibit', 'hindar', 'rugi', 'investasi']",1,1
"['apa', 'download', 'hasil', 'rekening', 'bank', 'jago', 'ribet', 'suruh', 'pasport', 'tulis', 'konfirmasi', 'salah', 'hapus']",0,1
"['gabung', 'bibit', 'yukkk', 'kode', 'exosvt', 'dapat', 'cashbacknya', 'nabung', 'investasi', 'mudah', 'bibit']",1,1
"['aplikasi', 'jeleklemot', 'parah']",0,0
"['investasi', 'mudah', 'proses', 'beli', 'cepet', 'produk', 'reksadana', 'cocok', 'investasi', 'jangka', 'mantengin', 'grafik', 'perintilannya', 'sayang', 'proses', 'jual', 'makan', 'lamaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', 'rekomendasi', 'sewaktuwaktu', 'butuh', 'uang', 'hasil', 'invest', 'kira', 'butuh', 'uang', 'kasih', 'jarak', 'minggu', 'butuh', 'uang', 'investasi', 'bibit']",0,0
"['hai', 'bibit', 'aplikasi', 'gk', 'buka', 'trus', 'save', 'nomor', 'dikoment', 'bibit', 'user', 'gk', 'wa', 'nomor', 'rumah', 'wa', 'gmna']",0,1
"['kasih', 'bintang', 'akun', 'gua', 'terveripikasi', 'email', 'dah', 'bener', 'seribet', 'daftar']",0,0
"['thn', 'sy', 'pkai', 'bibit', 'buta', 'investasi', 'paham', 'cuan', 'duit', 'cari', 'duit', 'uang', 'hilang', 'tp', 'dpt', 'cuan', 'jdi', 'takut', 'karna', 'awas', 'ojk', 'coba', 'rb', 'cuan', 'rb', 'mudah', 'sederhana', 'mula', 'review', 'sy', 'manfaat', 'mohon', 'masuk', 'kode', 'referal', 'sy', 'dpt', 'rb', 'bibitokesipp', 'dobel', 'trims']",1,1
"['aplikasi', 'bagusmudah', 'paham', 'karna', 'tampil', 'simpel', 'aman', 'udah', 'awas', 'ojk', 'dapat', 'cashback', 'reksadana', 'bibit', 'nila', 'rp', 'masuk', 'kode', 'referral', 'mantapbet', 'daftar']",1,1
"['ngeri', 'suka', 'foto', 'selpi', 'ktp']",0,0
"['guna', 'pakai', 'referral', 'cashback', 'repcuan']",1,1
"['kasih', 'bintang', 'ulas', 'tindak', 'lanjut', 'perihal', 'performa', 'aplikasi', 'tingkat', 'lag', 'bug', 'nutup', 'nyaman', 'investasi']",1,0
"['update', 'ngga', 'masuk']",0,0
"['aplikasi', 'aneh', 'banget', 'masaa', 'ambil', 'uang', 'nunggu', 'banget', 'kerja', 'udah', 'minggu', 'uang', 'bom', 'masuk', 'rekening', 'status', 'jual', 'gimana', 'maksud', 'sulit', 'gitu']",0,0
"['main', 'alhamdulillah', 'cs', 'ramah']",1,1
"['lupa', 'pakai', 'kode', 'dsbjwvn']",1,1
"['gw', 'saranin', 'kasih', 'bintang', 'aplikasi', 'main', 'niat', 'cari', 'untung', 'tpi', 'bibit', 'rugi', 'beli', 'reksadana', 'pas', 'cair', 'pajak', 'aada', 'otak', 'rugi', 'main', 'bibit', 'gabisa', 'hasil', 'rugi', 'cashback', 'potong', 'cashback', 'nama', 'potong', 'uang', 'aplikasi', 'ko', 'rugi', 'untung']",0,0
"['update', 'ngga', 'login', 'kali', 'kali', 'login', 'halaman', 'utama', 'registrasi', 'ngga', 'masuk']",0,0
"['ayo', 'daftar', 'pake', 'kode', 'kamukayakok', 'dapet', 'saldo', 'tambah']",1,1
"['gw', 'knpa', 'verifikasi', 'ksei', 'bom', 'udh', 'brp', 'gw', 'blm', 'ngapa', 'ngapainsaran']",0,0
"['kode', 'referal', 'widda']",1,1
"['aplikasi', 'bagus', 'kasi', 'masukanbisa', 'fitur', 'tambah', 'setting', 'pisahin', 'modal', 'untung', 'narik', 'untung', 'sajatanpa', 'tarik', 'modal']",0,1
"['bibit', 'pemberitahuan', 'reksadana', 'jual', 'masuk', 'jual', 'reksadana', 'masuk', 'rekening', 'aplikasi', 'bibit', 'tulis', 'order', 'jual', 'hasil', 'maksimal', 'kerja', 'masuk', 'rekening', 'beli', 'reksadana', 'gampang', 'jual', 'reksadana', 'bibit', 'embel', 'investasi', 'ribet', 'praktis', 'hahahha', 'praktis', 'orang', 'rugi']",0,0
"['saran', 'tolong', 'dlm', 'beli', 'serta', 'transfer', 'otomatis', 'account', 'virtual', 'ibanking', 'otomatis', 'mengapload', 'bukti', 'pembayaranribet', 'alami', 'dlm', 'beli']",1,1
"['mula', 'bagus', 'bantu', 'ajar', 'design', 'sampai', 'sederhana', 'paham', 'kalang']",1,1
"['keren', 'aplikasi', 'tampil', 'mudah', 'paham', 'bagus', 'liat', 'mata', 'tambah', 'kalkulator', 'kasih', 'return', 'total', 'tabung', 'trus', 'samping', 'total', 'retur', 'mudah', 'liat', 'campur']",1,1
"['coba', 'aplikasi', 'investasi', 'reksadana', 'pilih', 'bibit', 'simple', 'bayar', 'mudah', 'pilih', 'link', 'gopay', 'transfer', 'bank', 'moga', 'istiqomah', 'sisih', 'uang', 'paksu']",1,1
"['nyesel', 'gk', 'download', 'bibit']",0,1
"['iklan', 'cocok', 'investor', 'mula', 'ribet', 'pusing', 'investasi', 'kembang', 'aplikasi', 'tingkat', 'terus', 'karya']",1,0
"['aneh', 'aplikasi', 'untung', 'jual', 'buka', 'bilang', 'internet', 'error', 'sekrup', 'lepas', 'saldo', 'beli', 'sukses', 'tampil', 'untung', 'ubah', 'normal', 'saham', 'grafik', 'dinamis', 'untung', 'diupdate', 'ubah', 'saldo', 'jual', 'tombol', 'disabled', 'aneh', 'aplikasi', 'nipu', 'yaudah', 'makan', 'juta', 'beban', 'neraka', 'jt']",0,0
"['aplikasi', 'tunjuk', 'aneh', 'buka', 'aplikasi', 'web', 'bungkus', 'app']",0,0
"['apl', 'bibit', 'reksadana', 'lu', 'depo', 'minggu', 'kau', 'wd', 'jangka', 'depo', 'wd', 'lol']",0,1
"['kadang', 'gabisa', 'buka', 'refres', 'bkin', 'pnik']",0,0
"['buka', 'error', 'mlugmana', 'nabung', 'rutinpayah', 'deh']",0,0
"['tolong', 'bibitdata', 'data', 'hapus', 'simpan', 'aman', 'gw', 'daftar', 'bibitverifikasi', 'hambat', 'minggu', 'terferifikasidan', 'gw', 'un', 'instal', 'data', 'sayasaya', 'lapor', 'wajib']",0,0
"['the', 'best', 'pokok', 'knpa', 'gk', 'dri', 'dlu', 'nabung', 'dsini']",1,1
"['bibit', 'buka', 'error']",0,0
"['akhirakhir', 'uinya', 'error', 'layer', 'displaynya', 'tumpuk', 'buka', 'solusi', 'update', 'aplikasi', 'baru', 'sedia']",0,0
"['delete', 'akun', 'percaya', 'kapabilitas', 'aplikasi', 'serang', 'curi', 'data', 'rekening', 'alamat', 'ktp', 'foto', 'ktp', 'big', 'data', 'langgan', 'mahal', 'tanggung', 'muncul', 'opsi', 'delete', 'akun', 'nyaman', 'data', 'jebol', 'bpjs', 'panik']",0,0
"['bener', 'bener', 'bantu', 'tata', 'aplikasi', 'bantu', 'robo', 'tentuin', 'dimna', 'investasi', 'data', 'akurat', 'teman', 'uang', 'cashback', 'daftar', 'masukkkan', 'kode', 'yunus', 'salam', 'sukses']",1,1
"['masuk', 'kode', 'referal', 'organisasi', 'rbaplikasi', 'cocok', 'mula', 'fitur', 'mudah', 'erti']",1,1
"['terima', 'kasih', 'bantu', 'bibit', 'sabarsantunmembantu', 'koreksi', 'data', 'sayadipertahankan', 'bibit', 'sukses']",1,1
"['bibit', 'erorr', 'kemarin', 'akun', 'dibukak', 'takut', 'isi', 'saldo', 'mohon', 'jelas', 'admin', 'komplain', 'mana']",0,0
"['kali', 'kecewa', 'bibitpenjualan', 'reksadana', 'hasil', 'gagal', 'alas', 'rek', 'gasesuai', 'dllapakabar', 'udah', 'hasil', 'kecewa', 'gatau', 'nasib', 'reksadana', 'nyangkut', 'dah', 'baik', 'sistem', 'percaya', 'bibit']",0,0
"['bantu', 'dana', 'tabung', 'cepat', 'cair', 'pilih', 'reksadana', 'pasar', 'uang', 'hasil', 'jual', 'kayak', 'harga', 'bibit', 'jual', 'jam', 'kerja', 'saham', 'obligasi', 'cair', 'emg', 'mohon', 'sabar', 'guys', 'invest', 'bibit', 'pakai', 'kode', 'shellyok', 'dpt', 'free', 'reksadana', 'mula', 'pakai', 'fitur', 'robo', 'investasi', 'jangka', 'pendek', 'beli', 'reksadana', 'pasar', 'uang', 'sabar', 'kunci', 'nabung', 'bibit', 'lamalama', 'bukit', 'semangat']",1,1
"['sebenernya', 'aplikasi', 'bagus', 'tampil', 'fresh', 'kini', 'enak', 'cocok', 'banget', 'main', 'reksadana', 'aplikasi', 'crash', 'ganggu', 'banget', 'home', 'stuck', 'ngeload', 'data', 'clear', 'cache', 'normal', 'clear', 'cache', 'tolong', 'baik', 'alam', 'guna']",1,0
"['mohon', 'tambah', 'tari', 'bank', 'neo', 'mudah', 'tarik', 'uang']",0,0
"['ngecek', 'dana', 'kmren', 'aplikasi', 'buka', 'muncul', 'koneksi', 'coba', 'upgrade', 'udah', 'hapus', 'data', 'udah', 'tetep']",0,0
"['tingkat', 'investasi', 'bagus', 'bisnis', 'investasi']",1,1
"['aplikasi', 'bagus', 'investasi', 'mula', 'beli', 'mudah', 'jual', 'jg', 'butuh', 'kerja', 'tpi', 'kemaren', 'coba', 'jual', 'udah', 'cair', 'percaya', 'ni', 'aplikasi', 'takut', 'coba']",0,1
"['udah', 'investasi', 'aku', 'hilang']",1,0
"['bibit', 'mudah', 'trrutama', 'mula', 'investasi', 'bintang', 'aplikasi', 'lumayan', 'lelet', 'mohon', 'tingkat']",1,0
"['moga', 'berkah', 'indonesia', 'ku']",1,1
"['moga', 'untung']",1,1
"['app', 'buka', 'dana', 'ssya', 'msih']",0,0
"['oke', 'nyaman', 'digunakanakan', 'efisien', 'metode', 'bayar', 'wallet', 'bkn', 'gopay', 'linkaja', 'dana', 'dll', 'moga', 'next', 'update', 'sekian', 'terimakasih']",1,1
"['jalan', 'lancar', 'tab', 'lite', 'fitur', 'nambah', 'bantu', 'portofolio', 'bibit']",1,1
"['akun', 'pas', 'login', 'suruh', 'registrasi', 'registrasi']",0,0
"['mari', 'investasi', 'bibit', 'nunggu', 'membuktikandengan', 'nilai', 'tumbuh', 'investasi', 'pertahunnyacus', 'pakai', 'kode', 'referal', 'untung', 'lipat', 'tabung', 'referal', 'code', 'bibituangaman', 'lets', 'join', 'now']",1,1
"['tolong', 'tingkat', 'min', 'jual', 'hasil', 'uang', 'gk', 'cair', 'tambah', 'obat', 'dana', 'gk', 'cair', 'status', 'jual', 'hasil', 'dana', 'gk', 'kunjung', 'masuk']",0,1
"['program', 'beta', 'penuh', 'maksud', 'gmana', 'masuk', 'tp', 'trus', 'hapus', 'download', 'ulang', 'msh', 'masuk']",0,0
"['akun', 'sampe', 'selesai', 'verifikasi', 'estimasi', 'verifikasi', 'daftar', 'sampe', 'tanggal', 'oktober', 'tanggal', 'oktober', 'akun', 'selesai', 'verifikasi', 'tolong', 'data', 'hapus', 'ganti', 'bintang', 'akun', 'selesai', 'verifikasi']",0,0
"['bagus', 'mula', 'baca', 'aplikasi', 'robo', 'bantu', 'rencana', 'investasi', 'autodebit', 'pakai', 'gopay', 'mudah', 'masukin', 'kode', 'referal', 'bonusdarifridha', 'dapet', 'cashback', 'lumayan', 'bgt']",1,1
"['bagus', 'investasj', 'jangka']",1,1
"['keren', 'bibit', 'tambah', 'kode', 'referral', 'sembarangwes', 'cashback', 'ribu', 'terimakasih']",1,1
"['bagus', 'pake', 'kode', 'ref', 'melakartos']",1,1
['bantu'],1,1
"['kasih', 'bintang', 'kagak', 'paham', 'pakai']",0,1
"['sorry', 'gue', 'td', 'bintang', 'blum', 'paham', 'sistem', 'dana', 'gue', 'udah', 'masuk', 'hasil', 'jual']",0,1
"['aplikasi', 'eror', 'udh', 'gk', 'buka']",0,0
"['mantap', 'masuk', 'kode', 'hudasaja', 'nikmat', 'cashback']",1,1
"['bagus', 'dah', 'buka', 'buka', 'reload', 'apk', 'lancar', 'koneksi']",0,0
"['aplikasi', 'bagus', 'cuman', 'luas', 'jenis', 'investasi', 'reksadana', 'tp', 'invetasi', 'emas', 'sbn', 'loginny', 'pake', 'sidik', 'jari', 'cepet']",1,1
"['aplikasi', 'inverstasi', 'baik', 'ku']",1,1
"['widraw', 'nunggu', 'cek', 'saldo', 'masuk', 'kkemana', 'bibit', 'tipu', 'saran', 'hati', 'mula', 'deposit', 'andisini', 'untung', 'diharapkanterima', 'kasih']",0,0
"['invest', 'udah', 'turun', 'kembang', 'deddy', 'corbuzier', 'bohong', 'tuhh', 'haaahhh', 'bosan', 'indonesia', 'bohong', 'cari', 'untung', 'mending', 'buka', 'usaha', 'nggak', 'tipu', 'masyarakat']",0,0
"['aplikasih', 'baguz', 'bgt']",0,1
"['ok', 'coba']",1,1
